minute_ts_utc,symbol,security_id,visibility_mode,graph_feature_status,seed_feature_status,related_security_count,direct_related_security_count,second_hop_related_security_count,confidence_weighted_breadth,max_path_confidence,mean_path_confidence,related_feature_count,anomalous_related_count,anomalous_related_fraction,synchronized_equity_volume_anomaly_count,synchronized_option_volume_anomaly_count,synchronized_spread_widen_count,max_related_multivariate_l2,mean_related_multivariate_l2,confidence_weighted_peer_anomaly,propagation_strength,min_anomalous_hop,mean_anomalous_hop,prior_visible_case_count,prior_case_similarity_max,prior_case_similarity_mean,graph_db_sha256,feature_input_sha256,research_use_only
2011-02-05T19:30:00.000Z,T00,SEC:T00,live_surveillance,full,full,2.0,3.0,2.0,0.82,0.82,0.82,2.0,3.0,0.82,3.0,2.0,3.0,3.2,3.27,0.82,3.41,1.0,1.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-05T19:30:00.000Z,C0011,SEC:C0011,live_surveillance,full,full,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.18,0.19999999999999998,0.12,0.18,2.0,2.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-05T19:30:00.000Z,C0012,SEC:C0012,live_surveillance,full,full,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.18,0.19999999999999998,0.12,0.18,2.0,2.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-05T19:30:00.000Z,C0013,SEC:C0013,live_surveillance,full,full,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.18,0.19999999999999998,0.12,0.18,2.0,2.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-06T19:31:00.000Z,T00,SEC:T00,live_surveillance,full,full,2.0,3.0,2.0,0.82,0.82,0.82,2.0,3.0,0.82,3.0,2.0,3.0,3.2,3.27,0.82,3.41,1.0,1.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-06T19:31:00.000Z,C0021,SEC:C0021,live_surveillance,full,full,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.18,0.19999999999999998,0.12,0.18,2.0,2.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-06T19:31:00.000Z,C0022,SEC:C0022,live_surveillance,full,full,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.18,0.19999999999999998,0.12,0.18,2.0,2.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-06T19:31:00.000Z,C0023,SEC:C0023,live_surveillance,full,full,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.18,0.19999999999999998,0.12,0.18,2.0,2.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-07T19:32:00.000Z,T01,SEC:T01,live_surveillance,full,full,2.0,3.0,2.0,0.82,0.82,0.82,2.0,3.0,0.82,3.0,2.0,3.0,3.2,3.27,0.82,3.41,1.0,1.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-07T19:32:00.000Z,C0031,SEC:C0031,live_surveillance,full,full,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.18,0.19999999999999998,0.12,0.18,2.0,2.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-07T19:32:00.000Z,C0032,SEC:C0032,live_surveillance,full,full,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.18,0.19999999999999998,0.12,0.18,2.0,2.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
2011-02-07T19:32:00.000Z,C0033,SEC:C0033,live_surveillance,full,full,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.18,0.19999999999999998,0.12,0.18,2.0,2.0,0.0,0.0,0.0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1
