match_id,event_id,treated_symbol,treated_minute_ts_utc,control_rank,control_symbol,control_minute_ts_utc
M0011,D001,T00,2011-02-05T19:30:00.000Z,1,C0011,2011-02-05T19:30:00.000Z
M0012,D001,T00,2011-02-05T19:30:00.000Z,2,C0012,2011-02-05T19:30:00.000Z
M0013,D001,T00,2011-02-05T19:30:00.000Z,3,C0013,2011-02-05T19:30:00.000Z
M0021,D002,T00,2011-02-06T19:31:00.000Z,1,C0021,2011-02-06T19:31:00.000Z
M0022,D002,T00,2011-02-06T19:31:00.000Z,2,C0022,2011-02-06T19:31:00.000Z
M0023,D002,T00,2011-02-06T19:31:00.000Z,3,C0023,2011-02-06T19:31:00.000Z
M0031,D003,T01,2011-02-07T19:32:00.000Z,1,C0031,2011-02-07T19:32:00.000Z
M0032,D003,T01,2011-02-07T19:32:00.000Z,2,C0032,2011-02-07T19:32:00.000Z
M0033,D003,T01,2011-02-07T19:32:00.000Z,3,C0033,2011-02-07T19:32:00.000Z
M0041,D004,T01,2011-02-08T19:33:00.000Z,1,C0041,2011-02-08T19:33:00.000Z
M0042,D004,T01,2011-02-08T19:33:00.000Z,2,C0042,2011-02-08T19:33:00.000Z
M0043,D004,T01,2011-02-08T19:33:00.000Z,3,C0043,2011-02-08T19:33:00.000Z
M0051,D005,T02,2011-02-09T19:34:00.000Z,1,C0051,2011-02-09T19:34:00.000Z
M0052,D005,T02,2011-02-09T19:34:00.000Z,2,C0052,2011-02-09T19:34:00.000Z
M0053,D005,T02,2011-02-09T19:34:00.000Z,3,C0053,2011-02-09T19:34:00.000Z
M0061,D006,T02,2011-02-10T19:35:00.000Z,1,C0061,2011-02-10T19:35:00.000Z
M0062,D006,T02,2011-02-10T19:35:00.000Z,2,C0062,2011-02-10T19:35:00.000Z
M0063,D006,T02,2011-02-10T19:35:00.000Z,3,C0063,2011-02-10T19:35:00.000Z
M0071,D007,T03,2012-02-05T19:30:00.000Z,1,C0071,2012-02-05T19:30:00.000Z
M0072,D007,T03,2012-02-05T19:30:00.000Z,2,C0072,2012-02-05T19:30:00.000Z
M0073,D007,T03,2012-02-05T19:30:00.000Z,3,C0073,2012-02-05T19:30:00.000Z
M0081,D008,T03,2012-02-06T19:31:00.000Z,1,C0081,2012-02-06T19:31:00.000Z
M0082,D008,T03,2012-02-06T19:31:00.000Z,2,C0082,2012-02-06T19:31:00.000Z
M0083,D008,T03,2012-02-06T19:31:00.000Z,3,C0083,2012-02-06T19:31:00.000Z
M0091,D009,T04,2012-02-07T19:32:00.000Z,1,C0091,2012-02-07T19:32:00.000Z
M0092,D009,T04,2012-02-07T19:32:00.000Z,2,C0092,2012-02-07T19:32:00.000Z
M0093,D009,T04,2012-02-07T19:32:00.000Z,3,C0093,2012-02-07T19:32:00.000Z
M0101,D010,T04,2012-02-08T19:33:00.000Z,1,C0101,2012-02-08T19:33:00.000Z
M0102,D010,T04,2012-02-08T19:33:00.000Z,2,C0102,2012-02-08T19:33:00.000Z
M0103,D010,T04,2012-02-08T19:33:00.000Z,3,C0103,2012-02-08T19:33:00.000Z
M0111,D011,T05,2012-02-09T19:34:00.000Z,1,C0111,2012-02-09T19:34:00.000Z
