historical_symbol,trade_date,shares_outstanding,resolution_status,source_id,source_family,source_reference,fact_date,available_at,staleness_days,research_use_only
JNPR,2011-03-21,,unresolved,,,,,,,1
VMW,2011-03-21,,unresolved,,,,,,,1
EW,2011-03-22,,unresolved,,,,,,,1
JNPR,2011-03-22,,unresolved,,,,,,,1
VMW,2011-03-22,,unresolved,,,,,,,1
EW,2011-03-23,,unresolved,,,,,,,1
JNPR,2011-03-23,,unresolved,,,,,,,1
VMW,2011-03-23,,unresolved,,,,,,,1
EW,2011-03-24,,unresolved,,,,,,,1
JNPR,2011-03-24,,unresolved,,,,,,,1
VMW,2011-03-24,,unresolved,,,,,,,1
EHTH,2011-03-25,,unresolved,,,,,,,1
EW,2011-03-25,,unresolved,,,,,,,1
JNPR,2011-03-25,,unresolved,,,,,,,1
VMW,2011-03-25,,unresolved,,,,,,,1
CNMD,2011-03-28,,unresolved,,,,,,,1
EHTH,2011-03-28,,unresolved,,,,,,,1
EW,2011-03-28,,unresolved,,,,,,,1
JNPR,2011-03-28,,unresolved,,,,,,,1
VMW,2011-03-28,,unresolved,,,,,,,1
CNMD,2011-03-29,,unresolved,,,,,,,1
EHTH,2011-03-29,,unresolved,,,,,,,1
EW,2011-03-29,,unresolved,,,,,,,1
JNPR,2011-03-29,,unresolved,,,,,,,1
VMW,2011-03-29,,unresolved,,,,,,,1
CNMD,2011-03-30,,unresolved,,,,,,,1
EHTH,2011-03-30,,unresolved,,,,,,,1
EW,2011-03-30,,unresolved,,,,,,,1
JNPR,2011-03-30,,unresolved,,,,,,,1
VMW,2011-03-30,,unresolved,,,,,,,1
CNMD,2011-03-31,,unresolved,,,,,,,1
EHTH,2011-03-31,,unresolved,,,,,,,1
EW,2011-03-31,,unresolved,,,,,,,1
JNPR,2011-03-31,,unresolved,,,,,,,1
VMW,2011-03-31,,unresolved,,,,,,,1
CNMD,2011-04-01,,unresolved,,,,,,,1
EHTH,2011-04-01,,unresolved,,,,,,,1
EW,2011-04-01,,unresolved,,,,,,,1
JNPR,2011-04-01,,unresolved,,,,,,,1
VMW,2011-04-01,,unresolved,,,,,,,1
CNMD,2011-04-04,,unresolved,,,,,,,1
EHTH,2011-04-04,,unresolved,,,,,,,1
EW,2011-04-04,,unresolved,,,,,,,1
JNPR,2011-04-04,,unresolved,,,,,,,1
VMW,2011-04-04,,unresolved,,,,,,,1
CNMD,2011-04-05,,unresolved,,,,,,,1
EHTH,2011-04-05,,unresolved,,,,,,,1
EW,2011-04-05,,unresolved,,,,,,,1
JNPR,2011-04-05,,unresolved,,,,,,,1
VMW,2011-04-05,,unresolved,,,,,,,1
CNMD,2011-04-06,,unresolved,,,,,,,1
EHTH,2011-04-06,,unresolved,,,,,,,1
EW,2011-04-06,,unresolved,,,,,,,1
