asset_class,minute_ts_utc,symbol,local_date,local_minute,metric,value,history_n,baseline_mean,baseline_std,baseline_median,baseline_mad,zscore,robust_zscore,baseline_ratio,history_status,source_name,research_use_only
equity,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,dollar_volume,30020,0,,,,,,,,insufficient,synthetic_fixture,1
equity,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,mean_quoted_spread,0.05,0,,,,,,,,insufficient,synthetic_fixture,1
equity,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,mean_relative_spread,0.0004997602,0,,,,,,,,insufficient,synthetic_fixture,1
equity,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,trade_count,2,0,,,,,,,,insufficient,synthetic_fixture,1
equity,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,volume,300,0,,,,,,,,insufficient,synthetic_fixture,1
option,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,call_volume,10,0,,,,,,,,insufficient,synthetic_fixture,1
option,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,contract_volume,14,0,,,,,,,,insufficient,synthetic_fixture,1
option,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,dollar_volume,3380,0,,,,,,,,insufficient,synthetic_fixture,1
option,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,mean_quoted_spread,0.2,0,,,,,,,,insufficient,synthetic_fixture,1
option,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,put_volume,4,0,,,,,,,,insufficient,synthetic_fixture,1
option,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,trade_count,2,0,,,,,,,,insufficient,synthetic_fixture,1
option,2015-02-17T19:19:00.000Z,TEST,2015-02-17,14:19,unique_contracts_traded,2,0,,,,,,,,insufficient,synthetic_fixture,1
equity,2015-02-17T19:20:00.000Z,TEST,2015-02-17,14:20,dollar_volume,5010,0,,,,,,,,insufficient,synthetic_fixture,1
equity,2015-02-17T19:20:00.000Z,TEST,2015-02-17,14:20,mean_quoted_spread,0.04,0,,,,,,,,insufficient,synthetic_fixture,1
equity,2015-02-17T19:20:00.000Z,TEST,2015-02-17,14:20,mean_relative_spread,0.0003992016,0,,,,,,,,insufficient,synthetic_fixture,1
equity,2015-02-17T19:20:00.000Z,TEST,2015-02-17,14:20,trade_count,1,0,,,,,,,,insufficient,synthetic_fixture,1
equity,2015-02-17T19:20:00.000Z,TEST,2015-02-17,14:20,volume,50,0,,,,,,,,insufficient,synthetic_fixture,1
