event_id,permno,gvkey,historical_symbol,first_trade_ts_local,first_trade_ts_utc,event_trade_date,event_session_open_local,event_session_close_local,event_window_start_local,event_window_end_local,event_window_minute_count,posthoc_quote_end_local,posthoc_5m_incomplete_panel_minutes,baseline_required_sessions,baseline_scan_sessions,baseline_first_date,baseline_last_date,baseline_dates,announcement_timestamp_status,itch_requirement,options_requirement,shares_outstanding_requirement,matched_control_status,research_use_only
HEJFE-8D40B9782E1E6F33,10145,1300,HON,2012-01-26T15:53:00-05:00,2012-01-26T20:53:00Z,2012-01-26,2012-01-26T09:30:00-05:00,2012-01-26T16:00:00-05:00,2012-01-26T15:23:00-05:00,2012-01-26T16:00:00-05:00,38,2012-01-26T16:00:00-05:00,5,21,21,2011-12-23,2012-01-25,2011-12-23;2011-12-27;2011-12-28;2011-12-29;2011-12-30;2012-01-03;2012-01-04;2012-01-05;2012-01-06;2012-01-09;2012-01-10;2012-01-11;2012-01-12;2012-01-13;2012-01-17;2012-01-18;2012-01-19;2012-01-20;2012-01-23;2012-01-24;2012-01-25,missing_authorized_exact_timestamp,conditional_on_point_in_time_nasdaq_listing,required_for_full_replication_optional_for_equity_only_core,point_in_time_series_required_for_turnover,pending_real_same_day_candidate_universe,1
HEJFE-D346C6CFDFB6E581,10606,12445,WTS,2015-02-17T14:19:00-05:00,2015-02-17T19:19:00Z,2015-02-17,2015-02-17T09:30:00-05:00,2015-02-17T16:00:00-05:00,2015-02-17T13:49:00-05:00,2015-02-17T14:49:00-05:00,61,2015-02-17T14:54:00-05:00,0,21,21,2015-01-15,2015-02-13,2015-01-15;2015-01-16;2015-01-20;2015-01-21;2015-01-22;2015-01-23;2015-01-26;2015-01-27;2015-01-28;2015-01-29;2015-01-30;2015-02-02;2015-02-03;2015-02-04;2015-02-05;2015-02-06;2015-02-09;2015-02-10;2015-02-11;2015-02-12;2015-02-13,missing_authorized_exact_timestamp,conditional_on_point_in_time_nasdaq_listing,required_for_full_replication_optional_for_equity_only_core,point_in_time_series_required_for_turnover,pending_real_same_day_candidate_universe,1
HEJFE-A413A5AC6E515E3C,11547,13623,CNMD,2011-04-27T15:22:00-04:00,2011-04-27T19:22:00Z,2011-04-27,2011-04-27T09:30:00-04:00,2011-04-27T16:00:00-04:00,2011-04-27T14:52:00-04:00,2011-04-27T15:52:00-04:00,61,2011-04-27T15:57:00-04:00,0,21,21,2011-03-28,2011-04-26,2011-03-28;2011-03-29;2011-03-30;2011-03-31;2011-04-01;2011-04-04;2011-04-05;2011-04-06;2011-04-07;2011-04-08;2011-04-11;2011-04-12;2011-04-13;2011-04-14;2011-04-15;2011-04-18;2011-04-19;2011-04-20;2011-04-21;2011-04-25;2011-04-26,missing_authorized_exact_timestamp,conditional_on_point_in_time_nasdaq_listing,required_for_full_replication_optional_for_equity_only_core,point_in_time_series_required_for_turnover,pending_real_same_day_candidate_universe,1
HEJFE-AC78A2434E4AE8FB,11599,14182,ACO,2013-04-25T14:40:00-04:00,2013-04-25T18:40:00Z,2013-04-25,2013-04-25T09:30:00-04:00,2013-04-25T16:00:00-04:00,2013-04-25T14:10:00-04:00,2013-04-25T15:10:00-04:00,61,2013-04-25T15:15:00-04:00,0,21,21,2013-03-26,2013-04-24,2013-03-26;2013-03-27;2013-03-28;2013-04-01;2013-04-02;2013-04-03;2013-04-04;2013-04-05;2013-04-08;2013-04-09;2013-04-10;2013-04-11;2013-04-12;2013-04-15;2013-04-16;2013-04-17;2013-04-18;2013-04-19;2013-04-22;2013-04-23;2013-04-24,missing_authorized_exact_timestamp,conditional_on_point_in_time_nasdaq_listing,required_for_full_replication_optional_for_equity_only_core,point_in_time_series_required_for_turnover,pending_real_same_day_candidate_universe,1
HEJFE-EDFDC1213C9AF586,11896,14256,MXIM,2012-01-26T11:44:00-05:00,2012-01-26T16:44:00Z,2012-01-26,2012-01-26T09:30:00-05:00,2012-01-26T16:00:00-05:00,2012-01-26T11:14:00-05:00,2012-01-26T12:14:00-05:00,61,2012-01-26T12:19:00-05:00,0,21,21,2011-12-23,2012-01-25,2011-12-23;2011-12-27;2011-12-28;2011-12-29;2011-12-30;2012-01-03;2012-01-04;2012-01-05;2012-01-06;2012-01-09;2012-01-10;2012-01-11;2012-01-12;2012-01-13;2012-01-17;2012-01-18;2012-01-19;2012-01-20;2012-01-23;2012-01-24;2012-01-25,missing_authorized_exact_timestamp,conditional_on_point_in_time_nasdaq_listing,required_for_full_replication_optional_for_equity_only_core,point_in_time_series_required_for_turnover,pending_real_same_day_candidate_universe,1
HEJFE-4080E04F012A7290,12026,184603,QLIK,2015-02-12T15:39:00-05:00,2015-02-12T20:39:00Z,2015-02-12,2015-02-12T09:30:00-05:00,2015-02-12T16:00:00-05:00,2015-02-12T15:09:00-05:00,2015-02-12T16:00:00-05:00,52,2015-02-12T16:00:00-05:00,5,21,21,2015-01-13,2015-02-11,2015-01-13;2015-01-14;2015-01-15;2015-01-16;2015-01-20;2015-01-21;2015-01-22;2015-01-23;2015-01-26;2015-01-27;2015-01-28;2015-01-29;2015-01-30;2015-02-02;2015-02-03;2015-02-04;2015-02-05;2015-02-06;2015-02-09;2015-02-10;2015-02-11,missing_authorized_exact_timestamp,conditional_on_point_in_time_nasdaq_listing,required_for_full_replication_optional_for_equity_only_core,point_in_time_series_required_for_turnover,pending_real_same_day_candidate_universe,1
HEJFE-D7BD84C255F2273D,12049,175503,GORO,2013-05-08T15:58:00-04:00,2013-05-08T19:58:00Z,2013-05-08,2013-05-08T09:30:00-04:00,2013-05-08T16:00:00-04:00,2013-05-08T15:28:00-04:00,2013-05-08T16:00:00-04:00,33,2013-05-08T16:00:00-04:00,5,21,21,2013-04-09,2013-05-07,2013-04-09;2013-04-10;2013-04-11;2013-04-12;2013-04-15;2013-04-16;2013-04-17;2013-04-18;2013-04-19;2013-04-22;2013-04-23;2013-04-24;2013-04-25;2013-04-26;2013-04-29;2013-04-30;2013-05-01;2013-05-02;2013-05-03;2013-05-06;2013-05-07,missing_authorized_exact_timestamp,conditional_on_point_in_time_nasdaq_listing,required_for_full_replication_optional_for_equity_only_core,point_in_time_series_required_for_turnover,pending_real_same_day_candidate_universe,1
HEJFE-AF58BD8CAE4E8D1C,12449,184700,FLT,2015-04-30T15:28:00-04:00,2015-04-30T19:28:00Z,2015-04-30,2015-04-30T09:30:00-04:00,2015-04-30T16:00:00-04:00,2015-04-30T14:58:00-04:00,2015-04-30T15:58:00-04:00,61,2015-04-30T16:00:00-04:00,3,21,21,2015-03-31,2015-04-29,2015-03-31;2015-04-01;2015-04-02;2015-04-06;2015-04-07;2015-04-08;2015-04-09;2015-04-10;2015-04-13;2015-04-14;2015-04-15;2015-04-16;2015-04-17;2015-04-20;2015-04-21;2015-04-22;2015-04-23;2015-04-24;2015-04-27;2015-04-28;2015-04-29,missing_authorized_exact_timestamp,conditional_on_point_in_time_nasdaq_listing,required_for_full_replication_optional_for_equity_only_core,point_in_time_series_required_for_turnover,pending_real_same_day_candidate_universe,1
HEJFE-5E9AD5C9AD67944D,12639,185646,CSOD,2015-05-06T15:29:00-04:00,2015-05-06T19:29:00Z,2015-05-06,2015-05-06T09:30:00-04:00,2015-05-06T16:00:00-04:00,2015-05-06T14:59:00-04:00,2015-05-06T15:59:00-04:00,61,2015-05-06T16:00:00-04:00,4,21,21,2015-04-07,2015-05-05,2015-04-07;2015-04-08;2015-04-09;2015-04-10;2015-04-13;2015-04-14;2015-04-15;2015-04-16;2015-04-17;2015-04-20;2015-04-21;2015-04-22;2015-04-23;2015-04-24;2015-04-27;2015-04-28;2015-04-29;2015-04-30;2015-05-01;2015-05-04;2015-05-05,missing_authorized_exact_timestamp,conditional_on_point_in_time_nasdaq_listing,required_for_full_replication_optional_for_equity_only_core,point_in_time_series_required_for_turnover,pending_real_same_day_candidate_universe,1
HEJFE-12CC8075D3F634CD,12758,1439,ECOL,2013-04-24T15:07:00-04:00,2013-04-24T19:07:00Z,2013-04-24,2013-04-24T09:30:00-04:00,2013-04-24T16:00:00-04:00,2013-04-24T14:37:00-04:00,2013-04-24T15:37:00-04:00,61,2013-04-24T15:42:00-04:00,0,21,21,2013-03-25,2013-04-23,2013-03-25;2013-03-26;2013-03-27;2013-03-28;2013-04-01;2013-04-02;2013-04-03;2013-04-04;2013-04-05;2013-04-08;2013-04-09;2013-04-10;2013-04-11;2013-04-12;2013-04-15;2013-04-16;2013-04-17;2013-04-18;2013-04-19;2013-04-22;2013-04-23,missing_authorized_exact_timestamp,conditional_on_point_in_time_nasdaq_listing,required_for_full_replication_optional_for_equity_only_core,point_in_time_series_required_for_turnover,pending_real_same_day_candidate_universe,1
