source_family,record_kind,trade_date,requirement,unique_symbol_count,historical_symbols,symbol_date_pair_count,acquisition_scope,blocking_metadata,research_use_only
nyse_daily_taq,equity_trade,2011-03-21,required_core,2,JNPR;VMW,2,date_file_or_symbol_filtered_export,,1
nyse_daily_taq,equity_quote,2011-03-21,required_core,2,JNPR;VMW,2,date_file_or_symbol_filtered_export,,1
cboe_option_trades,option_trade,2011-03-21,required_full_replication,2,JNPR;VMW,2,date_file_or_underlying_filtered_export,,1
cboe_option_quotes,option_quote,2011-03-21,required_full_replication,2,JNPR;VMW,2,date_file_or_underlying_filtered_export,,1
nasdaq_itch_5_0_decoded,itch_decoded,2011-03-21,conditional,2,JNPR;VMW,2,decoded_date_file_filtered_to_required_symbols,point_in_time_primary_listing_exchange,1
nyse_daily_taq,equity_trade,2011-03-22,required_core,3,EW;JNPR;VMW,3,date_file_or_symbol_filtered_export,,1
nyse_daily_taq,equity_quote,2011-03-22,required_core,3,EW;JNPR;VMW,3,date_file_or_symbol_filtered_export,,1
cboe_option_trades,option_trade,2011-03-22,required_full_replication,3,EW;JNPR;VMW,3,date_file_or_underlying_filtered_export,,1
cboe_option_quotes,option_quote,2011-03-22,required_full_replication,3,EW;JNPR;VMW,3,date_file_or_underlying_filtered_export,,1
nasdaq_itch_5_0_decoded,itch_decoded,2011-03-22,conditional,3,EW;JNPR;VMW,3,decoded_date_file_filtered_to_required_symbols,point_in_time_primary_listing_exchange,1
nyse_daily_taq,equity_trade,2011-03-23,required_core,3,EW;JNPR;VMW,3,date_file_or_symbol_filtered_export,,1
nyse_daily_taq,equity_quote,2011-03-23,required_core,3,EW;JNPR;VMW,3,date_file_or_symbol_filtered_export,,1
cboe_option_trades,option_trade,2011-03-23,required_full_replication,3,EW;JNPR;VMW,3,date_file_or_underlying_filtered_export,,1
cboe_option_quotes,option_quote,2011-03-23,required_full_replication,3,EW;JNPR;VMW,3,date_file_or_underlying_filtered_export,,1
nasdaq_itch_5_0_decoded,itch_decoded,2011-03-23,conditional,3,EW;JNPR;VMW,3,decoded_date_file_filtered_to_required_symbols,point_in_time_primary_listing_exchange,1
nyse_daily_taq,equity_trade,2011-03-24,required_core,3,EW;JNPR;VMW,3,date_file_or_symbol_filtered_export,,1
nyse_daily_taq,equity_quote,2011-03-24,required_core,3,EW;JNPR;VMW,3,date_file_or_symbol_filtered_export,,1
cboe_option_trades,option_trade,2011-03-24,required_full_replication,3,EW;JNPR;VMW,3,date_file_or_underlying_filtered_export,,1
cboe_option_quotes,option_quote,2011-03-24,required_full_replication,3,EW;JNPR;VMW,3,date_file_or_underlying_filtered_export,,1
nasdaq_itch_5_0_decoded,itch_decoded,2011-03-24,conditional,3,EW;JNPR;VMW,3,decoded_date_file_filtered_to_required_symbols,point_in_time_primary_listing_exchange,1
nyse_daily_taq,equity_trade,2011-03-25,required_core,4,EHTH;EW;JNPR;VMW,4,date_file_or_symbol_filtered_export,,1
nyse_daily_taq,equity_quote,2011-03-25,required_core,4,EHTH;EW;JNPR;VMW,4,date_file_or_symbol_filtered_export,,1
cboe_option_trades,option_trade,2011-03-25,required_full_replication,4,EHTH;EW;JNPR;VMW,4,date_file_or_underlying_filtered_export,,1
cboe_option_quotes,option_quote,2011-03-25,required_full_replication,4,EHTH;EW;JNPR;VMW,4,date_file_or_underlying_filtered_export,,1
nasdaq_itch_5_0_decoded,itch_decoded,2011-03-25,conditional,4,EHTH;EW;JNPR;VMW,4,decoded_date_file_filtered_to_required_symbols,point_in_time_primary_listing_exchange,1
nyse_daily_taq,equity_trade,2011-03-28,required_core,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_symbol_filtered_export,,1
nyse_daily_taq,equity_quote,2011-03-28,required_core,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_symbol_filtered_export,,1
cboe_option_trades,option_trade,2011-03-28,required_full_replication,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_underlying_filtered_export,,1
cboe_option_quotes,option_quote,2011-03-28,required_full_replication,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_underlying_filtered_export,,1
nasdaq_itch_5_0_decoded,itch_decoded,2011-03-28,conditional,5,CNMD;EHTH;EW;JNPR;VMW,5,decoded_date_file_filtered_to_required_symbols,point_in_time_primary_listing_exchange,1
nyse_daily_taq,equity_trade,2011-03-29,required_core,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_symbol_filtered_export,,1
nyse_daily_taq,equity_quote,2011-03-29,required_core,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_symbol_filtered_export,,1
cboe_option_trades,option_trade,2011-03-29,required_full_replication,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_underlying_filtered_export,,1
cboe_option_quotes,option_quote,2011-03-29,required_full_replication,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_underlying_filtered_export,,1
nasdaq_itch_5_0_decoded,itch_decoded,2011-03-29,conditional,5,CNMD;EHTH;EW;JNPR;VMW,5,decoded_date_file_filtered_to_required_symbols,point_in_time_primary_listing_exchange,1
nyse_daily_taq,equity_trade,2011-03-30,required_core,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_symbol_filtered_export,,1
nyse_daily_taq,equity_quote,2011-03-30,required_core,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_symbol_filtered_export,,1
cboe_option_trades,option_trade,2011-03-30,required_full_replication,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_underlying_filtered_export,,1
cboe_option_quotes,option_quote,2011-03-30,required_full_replication,5,CNMD;EHTH;EW;JNPR;VMW,5,date_file_or_underlying_filtered_export,,1
