historical_symbol,trade_date,roles,event_ids,interval_count,window_intervals_local,requested_regular_session_minutes,quote_extension_intervals_local,requested_quote_minutes,require_equity_trades,require_equity_quotes,require_option_trades_full_replication,require_option_quotes_full_replication,itch_requirement,shares_outstanding_required,research_use_only
JNPR,2011-03-21,baseline,HEJFE-D7FD00AF94DD8F41,1,15:20-16:00,41,15:20-16:00,41,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
VMW,2011-03-21,baseline,HEJFE-749FFC4028DF7B1C,1,14:26-15:26,61,14:26-15:31,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EW,2011-03-22,baseline,HEJFE-198DE6D99E934F32,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
JNPR,2011-03-22,baseline,HEJFE-D7FD00AF94DD8F41,1,15:20-16:00,41,15:20-16:00,41,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
VMW,2011-03-22,baseline,HEJFE-749FFC4028DF7B1C,1,14:26-15:26,61,14:26-15:31,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EW,2011-03-23,baseline,HEJFE-198DE6D99E934F32,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
JNPR,2011-03-23,baseline,HEJFE-D7FD00AF94DD8F41,1,15:20-16:00,41,15:20-16:00,41,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
VMW,2011-03-23,baseline,HEJFE-749FFC4028DF7B1C,1,14:26-15:26,61,14:26-15:31,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EW,2011-03-24,baseline,HEJFE-198DE6D99E934F32,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
JNPR,2011-03-24,baseline,HEJFE-D7FD00AF94DD8F41,1,15:20-16:00,41,15:20-16:00,41,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
