feature,coefficient
return_5m,0.09241411868814196
option_volume_z,0.09241411868814071
equity_volume_peak_z_5m,0.09241411868814071
equity_volume_z_slope_15m,0.09241411868814071
option_dollar_volume_z,0.0924141186881406
equity_volume_z_slope_30m,0.0924141186881406
multivariate_l2,0.09241411868814058
multivariate_change_5m,0.09241411868814044
equity_spread_z,0.09241411868814041
equity_volume_z_slope_5m,0.09241411868814041
full_history_fraction,0.09241411868814038
option_contracts_per_100_equity_shares,0.09241411868814035
mean_related_multivariate_l2,0.09241411868814035
confidence_weighted_breadth,0.09241411868814024
max_path_confidence,0.09241411868814024
mean_path_confidence,0.09241411868814024
anomalous_related_fraction,0.09241411868814024
confidence_weighted_peer_anomaly,0.09241411868814024
related_security_count,0.09241411868814021
second_hop_related_security_count,0.09241411868814021
related_feature_count,0.09241411868814021
synchronized_option_volume_anomaly_count,0.09241411868814021
min_anomalous_hop,-0.09241411868814021
mean_anomalous_hop,-0.09241411868814021
call_put_imbalance,0.09241411868814019
return_1m,0.09241411868814019
return_30m,0.09241411868814019
equity_volume_z,0.09241411868814017
max_related_multivariate_l2,0.09241411868814017
equity_volume_anomaly_count_5m,0.09241411868814005
equity_volume_anomaly_count_15m,0.09241411868814005
equity_volume_anomaly_count_30m,0.09241411868814005
spread_widen_count_5m,0.09241411868814005
option_volume_anomaly_count_5m,0.09241411868814005
multivariate_2sigma_count,0.09241411868814005
direct_related_security_count,0.09241411868814005
anomalous_related_count,0.09241411868814005
synchronized_equity_volume_anomaly_count,0.09241411868814005
synchronized_spread_widen_count,0.09241411868814005
return_15m,0.09241411868813984
option_volume_ratio,0.0924141186881398
equity_turnover_z,0.09241411868813977
equity_volume_peak_z_15m,0.09241411868813972
propagation_strength,0.09241411868813972
equity_volume_peak_z_30m,0.0924141186881396
equity_volume_ratio,0.0924141186881395
equity_volume_acceleration_5m,0.0924141186881395
realized_vol_5m,0.0
realized_vol_15m,0.0
realized_vol_30m,0.0
prior_visible_case_count,0.0
prior_case_similarity_max,0.0
prior_case_similarity_mean,0.0
