event_id,permno,gvkey,historical_symbol,first_documented_illicit_trade_ts,public_announcement_ts,information_asymmetry_seconds,hacked_flag,sec_documented_trade_flag,first_trade_timestamp_source,announcement_timestamp_source,timestamp_confidence,research_use_only
HEJFE-8D40B9782E1E6F33,10145,1300,HON,2012-01-26 15:53:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-D346C6CFDFB6E581,10606,12445,WTS,2015-02-17 14:19:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-A413A5AC6E515E3C,11547,13623,CNMD,2011-04-27 15:22:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-AC78A2434E4AE8FB,11599,14182,ACO,2013-04-25 14:40:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-EDFDC1213C9AF586,11896,14256,MXIM,2012-01-26 11:44:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-4080E04F012A7290,12026,184603,QLIK,2015-02-12 15:39:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-D7BD84C255F2273D,12049,175503,GORO,2013-05-08 15:58:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-AF58BD8CAE4E8D1C,12449,184700,FLT,2015-04-30 15:28:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-5E9AD5C9AD67944D,12639,185646,CSOD,2015-05-06 15:29:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-12CC8075D3F634CD,12758,1439,ECOL,2013-04-24 15:07:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-847F0EFE669B2440,12873,186520,P,2015-02-05 15:59:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-AF5106891E058D23,12924,184715,TNGO,2015-02-12 15:10:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-6F0A7632D9B4FFF6,13105,192255,ACHC,2015-04-28 14:35:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-05DE1473D5D7F7FB,13110,161036,MFRM,2015-03-19 15:55:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-87DDC59E7BB99A84,13284,177966,ALSN,2015-04-27 15:17:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-6C73B4B05384BC1E,13377,170335,PFPT,2013-04-25 15:00:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-DC66D5F2BDEC7C74,13447,171007,NOW,2015-01-28 13:31:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-47A3794D1C360650,13447,171007,NOW,2015-04-16 14:33:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-9B84208BA575EAC4,13687,111873,RH,2015-03-26 15:41:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-DF726FADF321F8E3,13936,8551,PVH,2015-03-25 15:18:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-EBC49B9A024181AD,14231,18689,VEEV,2015-03-03 13:31:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-1950A4340036BB95,15456,11584,FL,2011-08-18 15:43:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-B704E62641681A73,16432,5234,GT,2011-07-27 15:59:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
