event_id,historical_symbol,permno,gvkey,first_trade_local,first_trade_utc,live_case_visible,forensic_case_visible,live_related_security_count,forensic_related_security_count,live_prior_visible_case_count,forensic_prior_visible_case_count,enforcement_public_at,research_use_only
HEJFE-749FFC4028DF7B1C,VMW,92257,178083,2011-04-19 14:56:00,2011-04-19T18:56:00Z,0,1,0,0,0,1,2015-08-11T23:59:59Z,1
HEJFE-D7FD00AF94DD8F41,JNPR,86979,121718,2011-04-19 15:50:00,2011-04-19T19:50:00Z,0,1,0,1,0,1,2015-08-11T23:59:59Z,1
HEJFE-198DE6D99E934F32,EW,87657,133366,2011-04-20 14:29:00,2011-04-20T18:29:00Z,0,1,0,2,0,1,2015-08-11T23:59:59Z,1
HEJFE-E4D3EE1A6CB984DB,EHTH,91498,174389,2011-04-26 15:07:00,2011-04-26T19:07:00Z,0,1,0,3,0,1,2015-08-11T23:59:59Z,1
HEJFE-A413A5AC6E515E3C,CNMD,11547,13623,2011-04-27 15:22:00,2011-04-27T19:22:00Z,0,1,0,4,0,1,2015-08-11T23:59:59Z,1
HEJFE-376286473ECFECB4,CA,25778,3310,2011-07-20 15:46:00,2011-07-20T19:46:00Z,0,1,0,5,0,1,2015-08-11T23:59:59Z,1
HEJFE-3A94836BBC9F224A,TPX,89971,156861,2011-07-26 13:40:00,2011-07-26T17:40:00Z,0,1,0,6,0,1,2015-08-11T23:59:59Z,1
HEJFE-5CB3223BB28A6F14,BWA,79545,28742,2011-07-27 10:59:00,2011-07-27T14:59:00Z,0,1,0,7,0,1,2015-08-11T23:59:59Z,1
HEJFE-B704E62641681A73,GT,16432,5234,2011-07-27 15:59:00,2011-07-27T19:59:00Z,0,1,0,8,0,1,2015-08-11T23:59:59Z,1
HEJFE-4FB44934BC5C5221,DNDN,88335,136884,2011-08-03 15:56:00,2011-08-03T19:56:00Z,0,1,0,9,0,1,2015-08-11T23:59:59Z,1
HEJFE-1950A4340036BB95,FL,15456,11584,2011-08-18 15:43:00,2011-08-18T19:43:00Z,0,1,0,10,0,1,2015-08-11T23:59:59Z,1
HEJFE-DC002D2C6C767277,MUSA,93323,175087,2011-10-20 15:48:00,2011-10-20T19:48:00Z,0,1,0,11,0,1,2015-08-11T23:59:59Z,1
HEJFE-AA2597B95CFD2A2D,LSTR,78981,21440,2011-10-21 15:48:00,2011-10-21T19:48:00Z,0,1,0,12,0,1,2015-08-11T23:59:59Z,1
HEJFE-BFE8A42E0C19BA39,VDSI,88203,66686,2011-10-26 14:26:00,2011-10-26T18:26:00Z,0,1,0,13,0,1,2015-08-11T23:59:59Z,1
HEJFE-74011A906BCCABE9,AGP,89204,145367,2011-10-27 13:03:00,2011-10-27T17:03:00Z,0,1,0,14,0,1,2015-08-11T23:59:59Z,1
HEJFE-704E64D64C11C119,MDP,42796,7260,2012-01-23 14:39:00,2012-01-23T19:39:00Z,0,1,0,15,0,1,2015-08-11T23:59:59Z,1
HEJFE-7E8FA3E5E417B5E7,IGT,45277,6097,2012-01-23 15:31:00,2012-01-23T20:31:00Z,0,1,0,16,0,1,2015-08-11T23:59:59Z,1
HEJFE-30CA515BC590DDA6,ROL,36003,9225,2012-01-24 10:14:00,2012-01-24T15:14:00Z,0,1,0,17,0,1,2015-08-11T23:59:59Z,1
HEJFE-2D81C70F59E076BA,CA,25778,3310,2012-01-24 13:32:00,2012-01-24T18:32:00Z,0,1,0,17,0,1,2015-08-11T23:59:59Z,1
HEJFE-2F14F138D09BCA76,IBKC,81564,24466,2012-01-24 13:53:00,2012-01-24T18:53:00Z,0,1,0,18,0,1,2015-08-11T23:59:59Z,1
HEJFE-45E6DA32B37F83D4,BA,19561,2285,2012-01-24 15:19:00,2012-01-24T20:19:00Z,0,1,0,19,0,1,2015-08-11T23:59:59Z,1
HEJFE-C85CE64DFF947CFD,RES,66683,8901,2012-01-24 15:20:00,2012-01-24T20:20:00Z,0,1,0,20,0,1,2015-08-11T23:59:59Z,1
HEJFE-DA7595FDF91D8CBC,WRLD,77114,24725,2012-01-24 15:53:00,2012-01-24T20:53:00Z,0,1,0,21,0,1,2015-08-11T23:59:59Z,1
HEJFE-99F3FC8CE022DEA1,VAR,27043,11115,2012-01-25 12:46:00,2012-01-25T17:46:00Z,0,1,0,22,0,1,2015-08-11T23:59:59Z,1
HEJFE-95933AA0B84D2F60,CAT,18542,2817,2012-01-25 14:35:00,2012-01-25T19:35:00Z,0,1,0,23,0,1,2015-08-11T23:59:59Z,1
HEJFE-D4E8CD312A2AA576,ISSI,81256,31488,2012-01-25 14:51:00,2012-01-25T19:51:00Z,0,1,0,24,0,1,2015-08-11T23:59:59Z,1
HEJFE-824BABBAD988A068,SYMM,70616,9715,2012-01-25 14:54:00,2012-01-25T19:54:00Z,0,1,0,25,0,1,2015-08-11T23:59:59Z,1
HEJFE-89844B5980EB5339,AF,79796,29246,2012-01-25 15:18:00,2012-01-25T20:18:00Z,0,1,0,26,0,1,2015-08-11T23:59:59Z,1
HEJFE-8596DDD6A535BD90,DEST,78990,27936,2012-01-25 15:34:00,2012-01-25T20:34:00Z,0,1,0,27,0,1,2015-08-11T23:59:59Z,1
HEJFE-56483839E5F0E88F,NVR,79785,12459,2012-01-25 15:56:00,2012-01-25T20:56:00Z,0,1,0,28,0,1,2015-08-11T23:59:59Z,1
HEJFE-EDFDC1213C9AF586,MXIM,11896,14256,2012-01-26 11:44:00,2012-01-26T16:44:00Z,0,1,0,29,0,1,2015-08-11T23:59:59Z,1
HEJFE-76DCF0FCA248E814,CB,59192,3024,2012-01-26 12:17:00,2012-01-26T17:17:00Z,0,1,0,30,0,1,2015-08-11T23:59:59Z,1
HEJFE-51F3066EAC9B8138,MUSA,93323,175087,2012-01-26 12:21:00,2012-01-26T17:21:00Z,0,1,0,30,0,1,2015-08-11T23:59:59Z,1
HEJFE-99CCB9D9BECE4E72,IDXX,76709,24197,2012-01-26 13:47:00,2012-01-26T18:47:00Z,0,1,0,31,0,1,2015-08-11T23:59:59Z,1
HEJFE-830D52F9F7F1CEEB,MSCC,53640,7346,2012-01-26 14:51:00,2012-01-26T19:51:00Z,0,1,0,32,0,1,2015-08-11T23:59:59Z,1
HEJFE-8D40B9782E1E6F33,HON,10145,1300,2012-01-26 15:53:00,2012-01-26T20:53:00Z,0,1,0,33,0,1,2015-08-11T23:59:59Z,1
HEJFE-13FC93F4D143B268,HAE,76837,24021,2012-01-27 15:55:00,2012-01-27T20:55:00Z,0,1,0,34,0,1,2015-08-11T23:59:59Z,1
HEJFE-09EF6AD227D3AC5D,DGI,92924,180029,2012-07-31 12:21:00,2012-07-31T16:21:00Z,0,1,0,35,0,1,2015-08-11T23:59:59Z,1
HEJFE-76B03970FA6BDB42,AVA,24969,11304,2013-02-19 15:46:00,2013-02-19T20:46:00Z,0,1,0,36,0,1,2015-08-11T23:59:59Z,1
HEJFE-D1D8268651584B6A,MKC,52090,7146,2013-04-01 15:38:00,2013-04-01T19:38:00Z,0,1,0,37,0,1,2015-08-11T23:59:59Z,1
HEJFE-B7EFA7CF95262283,LSCC,75854,16597,2013-04-18 14:24:00,2013-04-18T18:24:00Z,0,1,0,38,0,1,2015-08-11T23:59:59Z,1
HEJFE-ED329F780A1085DA,EW,87657,133366,2013-04-23 13:28:00,2013-04-23T17:28:00Z,0,1,0,38,0,1,2015-08-11T23:59:59Z,1
HEJFE-9B43F5B767ECD0FA,MTH,75342,14790,2013-04-23 14:24:00,2013-04-23T18:24:00Z,0,1,0,39,0,1,2015-08-11T23:59:59Z,1
HEJFE-CCC7747CFBDE893E,PNRA,76695,24113,2013-04-23 14:25:00,2013-04-23T18:25:00Z,0,1,0,40,0,1,2015-08-11T23:59:59Z,1
