edge_id,src_id,dst_id,edge_type,valid_from,valid_to,observed_at,public_at,source_class,source_reference,adjudication_status,confidence,research_use_only
GE:CASE:HEJFE-8D40B9782E1E6F33,CASE:SEC-DUBOVOY-2015,EV:HEJFE-8D40B9782E1E6F33,case_contains_event,,,2012-01-26T20:53:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:ISSUER:HEJFE-8D40B9782E1E6F33,EV:HEJFE-8D40B9782E1E6F33,ISS:GVKEY:1300,event_concerns_issuer,,,2012-01-26T20:53:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:SECURITY:HEJFE-8D40B9782E1E6F33,EV:HEJFE-8D40B9782E1E6F33,SEC:PERMNO:10145,event_observed_in_security,,,2012-01-26T20:53:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:CASE:HEJFE-D346C6CFDFB6E581,CASE:SEC-DUBOVOY-2015,EV:HEJFE-D346C6CFDFB6E581,case_contains_event,,,2015-02-17T19:19:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:ISSUER:HEJFE-D346C6CFDFB6E581,EV:HEJFE-D346C6CFDFB6E581,ISS:GVKEY:12445,event_concerns_issuer,,,2015-02-17T19:19:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:SECURITY:HEJFE-D346C6CFDFB6E581,EV:HEJFE-D346C6CFDFB6E581,SEC:PERMNO:10606,event_observed_in_security,,,2015-02-17T19:19:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:CASE:HEJFE-A413A5AC6E515E3C,CASE:SEC-DUBOVOY-2015,EV:HEJFE-A413A5AC6E515E3C,case_contains_event,,,2011-04-27T19:22:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:ISSUER:HEJFE-A413A5AC6E515E3C,EV:HEJFE-A413A5AC6E515E3C,ISS:GVKEY:13623,event_concerns_issuer,,,2011-04-27T19:22:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:SECURITY:HEJFE-A413A5AC6E515E3C,EV:HEJFE-A413A5AC6E515E3C,SEC:PERMNO:11547,event_observed_in_security,,,2011-04-27T19:22:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:CASE:HEJFE-AC78A2434E4AE8FB,CASE:SEC-DUBOVOY-2015,EV:HEJFE-AC78A2434E4AE8FB,case_contains_event,,,2013-04-25T18:40:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:ISSUER:HEJFE-AC78A2434E4AE8FB,EV:HEJFE-AC78A2434E4AE8FB,ISS:GVKEY:14182,event_concerns_issuer,,,2013-04-25T18:40:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:SECURITY:HEJFE-AC78A2434E4AE8FB,EV:HEJFE-AC78A2434E4AE8FB,SEC:PERMNO:11599,event_observed_in_security,,,2013-04-25T18:40:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:CASE:HEJFE-EDFDC1213C9AF586,CASE:SEC-DUBOVOY-2015,EV:HEJFE-EDFDC1213C9AF586,case_contains_event,,,2012-01-26T16:44:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:ISSUER:HEJFE-EDFDC1213C9AF586,EV:HEJFE-EDFDC1213C9AF586,ISS:GVKEY:14256,event_concerns_issuer,,,2012-01-26T16:44:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:SECURITY:HEJFE-EDFDC1213C9AF586,EV:HEJFE-EDFDC1213C9AF586,SEC:PERMNO:11896,event_observed_in_security,,,2012-01-26T16:44:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:CASE:HEJFE-4080E04F012A7290,CASE:SEC-DUBOVOY-2015,EV:HEJFE-4080E04F012A7290,case_contains_event,,,2015-02-12T20:39:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:ISSUER:HEJFE-4080E04F012A7290,EV:HEJFE-4080E04F012A7290,ISS:GVKEY:184603,event_concerns_issuer,,,2015-02-12T20:39:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:SECURITY:HEJFE-4080E04F012A7290,EV:HEJFE-4080E04F012A7290,SEC:PERMNO:12026,event_observed_in_security,,,2015-02-12T20:39:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:CASE:HEJFE-D7BD84C255F2273D,CASE:SEC-DUBOVOY-2015,EV:HEJFE-D7BD84C255F2273D,case_contains_event,,,2013-05-08T19:58:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:ISSUER:HEJFE-D7BD84C255F2273D,EV:HEJFE-D7BD84C255F2273D,ISS:GVKEY:175503,event_concerns_issuer,,,2013-05-08T19:58:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:SECURITY:HEJFE-D7BD84C255F2273D,EV:HEJFE-D7BD84C255F2273D,SEC:PERMNO:12049,event_observed_in_security,,,2013-05-08T19:58:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:CASE:HEJFE-AF58BD8CAE4E8D1C,CASE:SEC-DUBOVOY-2015,EV:HEJFE-AF58BD8CAE4E8D1C,case_contains_event,,,2015-04-30T19:28:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:ISSUER:HEJFE-AF58BD8CAE4E8D1C,EV:HEJFE-AF58BD8CAE4E8D1C,ISS:GVKEY:184700,event_concerns_issuer,,,2015-04-30T19:28:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:SECURITY:HEJFE-AF58BD8CAE4E8D1C,EV:HEJFE-AF58BD8CAE4E8D1C,SEC:PERMNO:12449,event_observed_in_security,,,2015-04-30T19:28:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:CASE:HEJFE-5E9AD5C9AD67944D,CASE:SEC-DUBOVOY-2015,EV:HEJFE-5E9AD5C9AD67944D,case_contains_event,,,2015-05-06T19:29:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:ISSUER:HEJFE-5E9AD5C9AD67944D,EV:HEJFE-5E9AD5C9AD67944D,ISS:GVKEY:185646,event_concerns_issuer,,,2015-05-06T19:29:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
GE:SECURITY:HEJFE-5E9AD5C9AD67944D,EV:HEJFE-5E9AD5C9AD67944D,SEC:PERMNO:12639,event_observed_in_security,,,2015-05-06T19:29:00Z,2015-08-11T23:59:59Z,adjudicated_public,SEC Press Release 2015-163 / Litigation Release 23319; https://www.sec.gov/newsroom/press-releases/2015-163; vgreg/hacked_earnings_jfe Data/TimeOfFirstTrade.csv; https://github.com/vgreg/hacked_earnings_jfe,charged,0.95,1
