event_id,historical_symbol,event_date,first_documented_illicit_trade_ts,public_announcement_ts,resolution_status,timestamp_kind,source_id,source_family,source_grade,source_reference,timestamp_confidence,information_asymmetry_seconds,research_use_only
HEJFE-8D40B9782E1E6F33,HON,2012-01-26,2012-01-26T20:53:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-D346C6CFDFB6E581,WTS,2015-02-17,2015-02-17T19:19:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-A413A5AC6E515E3C,CNMD,2011-04-27,2011-04-27T19:22:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-AC78A2434E4AE8FB,ACO,2013-04-25,2013-04-25T18:40:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-EDFDC1213C9AF586,MXIM,2012-01-26,2012-01-26T16:44:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-4080E04F012A7290,QLIK,2015-02-12,2015-02-12T20:39:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-D7BD84C255F2273D,GORO,2013-05-08,2013-05-08T19:58:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-AF58BD8CAE4E8D1C,FLT,2015-04-30,2015-04-30T19:28:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-5E9AD5C9AD67944D,CSOD,2015-05-06,2015-05-06T19:29:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-12CC8075D3F634CD,ECOL,2013-04-24,2013-04-24T19:07:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-847F0EFE669B2440,P,2015-02-05,2015-02-05T20:59:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-AF5106891E058D23,TNGO,2015-02-12,2015-02-12T20:10:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-6F0A7632D9B4FFF6,ACHC,2015-04-28,2015-04-28T18:35:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-05DE1473D5D7F7FB,MFRM,2015-03-19,2015-03-19T19:55:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-87DDC59E7BB99A84,ALSN,2015-04-27,2015-04-27T19:17:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-6C73B4B05384BC1E,PFPT,2013-04-25,2013-04-25T19:00:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-DC66D5F2BDEC7C74,NOW,2015-01-28,2015-01-28T18:31:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-47A3794D1C360650,NOW,2015-04-16,2015-04-16T18:33:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-9B84208BA575EAC4,RH,2015-03-26,2015-03-26T19:41:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-DF726FADF321F8E3,PVH,2015-03-25,2015-03-25T19:18:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-EBC49B9A024181AD,VEEV,2015-03-03,2015-03-03T18:31:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-1950A4340036BB95,FL,2011-08-18,2011-08-18T19:43:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-B704E62641681A73,GT,2011-07-27,2011-07-27T19:59:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-95933AA0B84D2F60,CAT,2012-01-25,2012-01-25T19:35:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-A9D220DE2F7E7FC3,DE,2015-02-19,2015-02-19T20:40:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-45E6DA32B37F83D4,BA,2012-01-24,2012-01-24T20:19:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-E1B57B6A71B06A7F,CR,2015-04-27,2015-04-27T19:39:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-B9C8B3D0EF3DCB5E,CACI,2015-04-29,2015-04-29T18:54:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-ED8CFC03F1053B9A,CAMP,2013-04-25,2013-04-25T19:48:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-B5A8A297D14CD19D,TXT,2015-04-27,2015-04-27T19:34:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-6101FFEDBA6EE41B,MDU,2015-02-02,2015-02-02T19:47:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-977FEBE8CA3CFCB6,MDU,2015-05-04,2015-05-04T19:57:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-4291CBF555CED6A9,PBI,2015-04-29,2015-04-29T18:47:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-76B03970FA6BDB42,AVA,2013-02-19,2013-02-19T20:46:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-376286473ECFECB4,CA,2011-07-20,2011-07-20T19:46:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-2D81C70F59E076BA,CA,2012-01-24,2012-01-24T18:32:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-E8C5063581BE7EB7,F,2015-01-28,2015-01-28T20:59:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10,2014-12-10T20:41:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25,2012-01-25T17:46:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-A25F33B630365184,R,2015-02-02,2015-02-02T20:43:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-36433565499915E2,PLL,2015-02-23,2015-02-23T20:03:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-7CEFB3FE3D986464,ROG,2015-02-17,2015-02-17T20:44:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-33FC1D00348D7C59,ROG,2015-04-29,2015-04-29T19:29:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-30CA515BC590DDA6,ROL,2012-01-24,2012-01-24T15:14:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-1783DE88400AF6CC,WMB,2015-02-18,2015-02-18T19:54:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-BD3F577ADD90D512,GNTX,2013-10-21,2013-10-21T19:21:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-263620F13A6443DD,MAT,2015-04-16,2015-04-16T18:39:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-704E64D64C11C119,MDP,2012-01-23,2012-01-23T19:39:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-9861757889227DD4,IDTI,2015-02-02,2015-02-02T19:24:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-EFFA194386ABDD28,IDTI,2015-05-04,2015-05-04T19:40:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-7E8FA3E5E417B5E7,IGT,2012-01-23,2012-01-23T20:31:00Z,,unresolved,,,,,,UNRESOLVED,,1
