event_date,event_count,candidate_count,candidates_with_pre_event_covariates,readiness_status,source_ids,research_use_only
2011-04-19,2,0,0,unresolved,,1
2011-04-20,1,0,0,unresolved,,1
2011-04-26,1,0,0,unresolved,,1
2011-04-27,1,0,0,unresolved,,1
2011-07-20,1,0,0,unresolved,,1
2011-07-26,1,0,0,unresolved,,1
2011-07-27,2,0,0,unresolved,,1
2011-08-03,1,0,0,unresolved,,1
2011-08-18,1,0,0,unresolved,,1
2011-10-20,1,0,0,unresolved,,1
2011-10-21,1,0,0,unresolved,,1
2011-10-26,1,0,0,unresolved,,1
2011-10-27,1,0,0,unresolved,,1
2012-01-23,2,0,0,unresolved,,1
2012-01-24,6,0,0,unresolved,,1
2012-01-25,7,0,0,unresolved,,1
2012-01-26,6,0,0,unresolved,,1
2012-01-27,1,0,0,unresolved,,1
2012-07-31,1,0,0,unresolved,,1
2013-02-19,1,0,0,unresolved,,1
2013-04-01,1,0,0,unresolved,,1
2013-04-18,1,0,0,unresolved,,1
2013-04-23,4,0,0,unresolved,,1
2013-04-24,4,0,0,unresolved,,1
2013-04-25,10,0,0,unresolved,,1
2013-05-06,1,0,0,unresolved,,1
2013-05-07,3,0,0,unresolved,,1
2013-05-08,1,0,0,unresolved,,1
2013-07-23,4,0,0,unresolved,,1
2013-09-19,1,0,0,unresolved,,1
2013-10-17,2,0,0,unresolved,,1
2013-10-21,2,0,0,unresolved,,1
2013-10-22,2,0,0,unresolved,,1
2014-12-10,1,0,0,unresolved,,1
2014-12-15,1,0,0,unresolved,,1
2015-01-20,1,0,0,unresolved,,1
2015-01-21,2,0,0,unresolved,,1
2015-01-22,3,0,0,unresolved,,1
2015-01-27,2,0,0,unresolved,,1
2015-01-28,3,0,0,unresolved,,1
2015-01-29,3,0,0,unresolved,,1
2015-02-02,3,0,0,unresolved,,1
2015-02-03,1,0,0,unresolved,,1
2015-02-04,1,0,0,unresolved,,1
2015-02-05,2,0,0,unresolved,,1
2015-02-10,2,0,0,unresolved,,1
2015-02-11,1,0,0,unresolved,,1
2015-02-12,6,0,0,unresolved,,1
2015-02-17,5,0,0,unresolved,,1
2015-02-18,2,0,0,unresolved,,1
2015-02-19,2,0,0,unresolved,,1
2015-02-23,5,0,0,unresolved,,1
2015-02-25,3,0,0,unresolved,,1
2015-02-26,1,0,0,unresolved,,1
2015-03-03,1,0,0,unresolved,,1
2015-03-10,2,0,0,unresolved,,1
2015-03-19,2,0,0,unresolved,,1
2015-03-25,2,0,0,unresolved,,1
2015-03-26,2,0,0,unresolved,,1
2015-03-31,1,0,0,unresolved,,1
2015-04-16,2,0,0,unresolved,,1
2015-04-21,2,0,0,unresolved,,1
2015-04-22,4,0,0,unresolved,,1
2015-04-27,5,0,0,unresolved,,1
2015-04-28,2,0,0,unresolved,,1
2015-04-29,5,0,0,unresolved,,1
2015-04-30,6,0,0,unresolved,,1
2015-05-04,5,0,0,unresolved,,1
2015-05-05,1,0,0,unresolved,,1
2015-05-06,4,0,0,unresolved,,1
2015-05-19,2,0,0,unresolved,,1
2015-05-20,1,0,0,unresolved,,1
