event_id,historical_symbol,trade_date,primary_exchange,resolution_status,source_id,source_family,source_reference,itch_requirement,research_use_only
HEJFE-8D40B9782E1E6F33,HON,2012-01-26,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-D346C6CFDFB6E581,WTS,2015-02-17,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-A413A5AC6E515E3C,CNMD,2011-04-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-AC78A2434E4AE8FB,ACO,2013-04-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-EDFDC1213C9AF586,MXIM,2012-01-26,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-4080E04F012A7290,QLIK,2015-02-12,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-D7BD84C255F2273D,GORO,2013-05-08,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-AF58BD8CAE4E8D1C,FLT,2015-04-30,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-5E9AD5C9AD67944D,CSOD,2015-05-06,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-12CC8075D3F634CD,ECOL,2013-04-24,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-847F0EFE669B2440,P,2015-02-05,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-AF5106891E058D23,TNGO,2015-02-12,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-6F0A7632D9B4FFF6,ACHC,2015-04-28,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-05DE1473D5D7F7FB,MFRM,2015-03-19,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-87DDC59E7BB99A84,ALSN,2015-04-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-6C73B4B05384BC1E,PFPT,2013-04-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-DC66D5F2BDEC7C74,NOW,2015-01-28,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-47A3794D1C360650,NOW,2015-04-16,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-9B84208BA575EAC4,RH,2015-03-26,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-DF726FADF321F8E3,PVH,2015-03-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-EBC49B9A024181AD,VEEV,2015-03-03,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-1950A4340036BB95,FL,2011-08-18,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-B704E62641681A73,GT,2011-07-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-95933AA0B84D2F60,CAT,2012-01-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-A9D220DE2F7E7FC3,DE,2015-02-19,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-45E6DA32B37F83D4,BA,2012-01-24,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-E1B57B6A71B06A7F,CR,2015-04-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-B9C8B3D0EF3DCB5E,CACI,2015-04-29,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-ED8CFC03F1053B9A,CAMP,2013-04-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-B5A8A297D14CD19D,TXT,2015-04-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-6101FFEDBA6EE41B,MDU,2015-02-02,,unresolved,,,,conditional_pending_exchange_resolution,1
