event_id,historical_symbol,effective_date,primary_exchange,evidence_kind,evidence_date,source_grade,source_reference,evidence_excerpt,research_use_only
HEJFE-EDFDC1213C9AF586,MXIM,2012-01-26,XNAS,sec_registration_prior,,A,https://www.sec.gov/Archives/edgar/data/743316/000144530511002404/maxim10-k062511.htm,Our common stock is traded on the NASDAQ Global Select Market under the symbol MXIM.,1
HEJFE-12CC8075D3F634CD,ECOL,2013-04-24,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/742126/000110262413000476/usecologyinc.htm,"US Ecology, Inc. (NASDAQ: ECOL)",1
HEJFE-847F0EFE669B2440,P,2015-02-05,XNYS,sec_registration_prior,,A,https://www.sec.gov/Archives/edgar/data/1230276/000104746913002959/a2212806z10-k.htm,Common stock registered on The New York Stock Exchange.,1
HEJFE-B704E62641681A73,GT,2011-07-27,XNYS,issuer_earnings_release,,A,https://news.goodyear.com/goodyear-reports-higher-second-quarter-earnings-on-24-sales-growth-1426100379894,The Goodyear Tire & Rubber Company (NYSE: GT),1
HEJFE-A9D220DE2F7E7FC3,DE,2015-02-19,XNYS,issuer_newswire_release,,A,https://www.newswire.ca/news-releases/deere-announces-first-quarter-earnings-of-387-million-516920001.html,Deere & Company (NYSE: DE),1
HEJFE-ED8CFC03F1053B9A,CAMP,2013-04-25,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/730255/000120677413001590/exhibit99-1.htm,CalAmp Corp. (NASDAQ: CAMP),1
HEJFE-977FEBE8CA3CFCB6,MDU,2015-05-04,XNYS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/67716/000006771615000052/mdu03-31x2015earningreleas.htm,"MDU Resources Group, Inc. (NYSE:MDU)",1
HEJFE-E8C5063581BE7EB7,F,2015-01-28,XNYS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/37996/000003799615000007/exhibit99toearnings8-kdate.htm,Ford Motor Company [NYSE: F],1
HEJFE-30CA515BC590DDA6,ROL,2012-01-24,XNYS,issuer_sec_filing,,A,https://www.rollins.com/investors/financial-information/sec-filings/content/0001104659-12-003762/a12-3360_28k.htm,"Rollins, Inc. (NYSE:ROL)",1
HEJFE-BD3F577ADD90D512,GNTX,2013-10-21,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/355811/000035581113000046/exhibit_991x093013.htm,Gentex Corporation (The Nasdaq Global Select Market: GNTX),1
HEJFE-263620F13A6443DD,MAT,2015-04-16,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/63276/000119312515133322/d909214dex991.htm,"Mattel, Inc. (NASDAQ: MAT)",1
HEJFE-EDF80619CED083CB,CAG,2015-03-25,XNYS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/23217/000119312515105916/d897973dex991.htm,"ConAgra Foods, Inc. (NYSE: CAG)",1
HEJFE-C85CE64DFF947CFD,RES,2012-01-24,XNYS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/742278/000118811212000165/ex99.htm,"RPC, Inc. (NYSE: RES)",1
HEJFE-EC5EB2BE0D97833F,STT,2015-01-22,XNYS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/93751/000009375115000002/q42014-earningspressrelease.htm,State Street Corporation (NYSE: STT),1
HEJFE-8415E931D4314106,KOPN,2015-03-10,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/771266/000115752315000889/a51056072ex99_1.htm,Kopin Corporation (NASDAQ: KOPN),1
HEJFE-7482DE1CD44C1A00,GMCR,2015-02-04,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/909954/000115752315000366/a51033184-ex991.htm,"Keurig Green Mountain, Inc. (NASDAQ: GMCR)",1
HEJFE-8536AD777ECEEACB,GDI,2013-04-25,XNYS,sec_registration_prior,,A,https://www.sec.gov/Archives/edgar/data/916459/000119312513077501/d457427d10k.htm,Common Stock registered on New York Stock Exchange.,1
